"","Prevalence","H->NH","mortHTA"
"GY",0.545270014306734,6.98560609973942,0.492615156703582
"IPF",1.04912900782127e-15,1.32474353213703,7782.07838998914
"Rm",0.194997596655703,4.48392180372792,NA
"Tr",1.89616807157434e-28,2.93724954600729,7896.88349595504
